#;OrderNumber;OrderDate;Product Name;Warehouse Code;Channel;City;Country;Customer Names;Region Group;ABC_XYZ;RFM;Order Quantity;Unit Price;Line Total;Total Unit Cost;Profit;Margin
5030;SO - 0004530;09.11.2015;Product 5;AXW291;Wholesale;BEOGRAD (Belgrade);Serbia;Winthrop;Top Regions;AZ;334;10;4006,6;40066;1762,904;22436,96;56
5031;SO - 0005652;21.03.2016;Product 5;AXW291;Wholesale;BEOGRAD (Belgrade);Serbia;Amylin Group;Top Regions;AZ;242;10;3859,2;38592;2431,296;14279,04;37
5032;SO - 0003070;11.05.2015;Product 5;AXW291;Wholesale;BEOGRAD (Belgrade);Serbia;Nipro;Top Regions;AZ;422;11;1246,2;13708,2;797,568;4934,952;36
5033;SO - 0006783;25.07.2016;Product 5;AXW291;Wholesale;BEOGRAD (Belgrade);Serbia;Fenwal, Corp;Top Regions;AZ;155;12;2666,6;31999,2;1626,626;12479,688;39
5034;SO - 0007121;05.09.2016;Product 5;AXW291;Wholesale;BEOGRAD (Belgrade);Serbia;Eminence Corp;Top Regions;AZ;152;12;1112,2;13346,4;611,71;6005,88;45
5035;SO - 0003089;11.05.2015;Product 5;AXW291;Export;BEOGRAD (Belgrade);Serbia;Apotheca, Ltd;Top Regions;AZ;422;12;1085,4;13024,8;445,014;7684,632;59
5036;SO - 0007507;24.10.2016;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;Mylan Corp;Lower Regions;AZ;152;5;1701,8;8509;1412,494;1446,53;17
5037;SO - 0007727;14.11.2016;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;Niconovum Corp;Lower Regions;AZ;155;5;1118,9;5594,5;850,364;1342,68;24
5038;SO - 000374;30.06.2014;Product 5;AXW291;Distributor;WIEN (Vienna);Austria;Linde;Lower Regions;AZ;511;5;254,6;1273;117,116;687,42;54
5039;SO - 0003082;11.05.2015;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;Sundial;Lower Regions;AZ;422;7;2492,4;17446,8;1520,364;6804,252;39
5040;SO - 000684;04.08.2014;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;Ascend Ltd;Lower Regions;AZ;515;8;857,6;6860,8;591,744;2126,848;31
5041;SO - 0003551;06.07.2015;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;Bare;Lower Regions;AZ;331;8;5420,3;43362,4;3577,398;14743,216;34
5042;SO - 0004178;21.09.2015;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;E. Ltd;Lower Regions;AZ;334;8;1172,5;9380;949,725;1782,2;19
5043;SO - 000231;16.06.2014;Product 5;AXW291;Export;WIEN (Vienna);Austria;Niconovum Corp;Lower Regions;AZ;512;8;3999,9;31999,2;2359,941;13119,672;41
5044;SO - 0004889;21.12.2015;Product 5;AXW291;Wholesale;WIEN (Vienna);Austria;Dharma Ltd;Lower Regions;AZ;332;10;1809;18090;1193,94;6150,6;34
5045;SO - 0001613;24.11.2014;Product 5;AXW291;Export;WIEN (Vienna);Austria;OHTA'S Corp;Lower Regions;AZ;515;11;917,9;10096,9;743,499;1918,411;19
5046;SO - 0003454;29.06.2015;Product 5;AXW291;Distributor;WIEN (Vienna);Austria;S.S.S. Group;Lower Regions;AZ;331;12;1675;20100;670;12060;60
5047;SO - 0002532;09.03.2015;Product 5;AXW291;Distributor;Kharkov;Ukraine;Medsep Group;Top Regions;AZ;421;5;5152,3;25761,5;4173,363;4894,685;19
5048;SO - 0002784;13.04.2015;Product 5;AXW291;Distributor;Kharkov;Ukraine;Prasco Group;Top Regions;AZ;421;5;2224,4;11122;1668,3;2780,5;25
5049;SO - 000541;21.07.2014;Product 5;AXW291;Distributor;Kharkov;Ukraine;Rochester Ltd;Top Regions;AZ;515;6;2351,7;14110,2;1246,401;6631,794;47
5050;SO - 0004518;09.11.2015;Product 5;AXW291;Distributor;Kharkov;Ukraine;Pure Group;Top Regions;AZ;334;6;2793,9;16763,4;1369,011;8549,334;51
5051;SO - 0001656;01.12.2014;Product 5;AXW291;Wholesale;Kharkov;Ukraine;Uriel Group;Top Regions;AZ;513;9;1045,2;9406,8;533,052;4609,332;49
5052;SO - 0005734;28.03.2016;Product 5;AXW291;Wholesale;Kharkov;Ukraine;Bare;Top Regions;AZ;244;9;917,9;8261,1;468,129;4047,939;49
5053;SO - 0007776;21.11.2016;Product 5;AXW291;Wholesale;Kharkov;Ukraine;Apollo Ltd;Top Regions;AZ;154;11;241,2;2653,2;190,548;557,172;21
5054;SO - 0007919;05.12.2016;Product 5;AXW291;Distributor;Kharkov;Ukraine;Weimei Corp;Top Regions;AZ;155;11;254,6;2800,6;145,122;1204,258;43
5055;SO - 0008092;01.01.2017;Product 5;AXW291;Distributor;Kharkov;Ukraine;PEDIFIX, Corp;Top Regions;AZ;151;11;2358,4;25942,4;1415,04;10376,96;40
5056;SO - 0006898;08.08.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;PEDIFIX, Corp;Top Regions;AZ;151;5;5212,6;26063;3283,938;9643,31;37
5057;SO - 0001687;01.12.2014;Product 5;AXW291;Distributor;Barcelona;Spain;Qualitest;Top Regions;AZ;513;5;3959,7;19798,5;2613,402;6731,49;34
5058;SO - 0006019;02.05.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;U.S. Ltd;Top Regions;AZ;241;6;3879,3;23275,8;1823,271;12336,174;53
5059;SO - 0007826;28.11.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;Procter Corp;Top Regions;AZ;151;6;1118,9;6713,4;704,907;2483,958;37
5060;SO - 0004973;01.01.2016;Product 5;AXW291;Distributor;Barcelona;Spain;Mylan Corp;Top Regions;AZ;241;6;2579,5;15477;1031,8;9286,2;60
5061;SO - 0006960;22.08.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;New Ltd;Top Regions;AZ;153;7;2391,9;16743,3;1698,249;4855,557;29
5062;SO - 0007445;17.10.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;Capweld;Top Regions;AZ;152;7;5889,3;41225,1;4711,44;8245,02;20
5063;SO - 0008080;26.12.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;New Ltd;Top Regions;AZ;153;7;964,8;6753,6;492,048;3309,264;49
5064;SO - 0004881;21.12.2015;Product 5;AXW291;Distributor;Barcelona;Spain;Trigen;Top Regions;AZ;332;7;2680;18760;1125,6;10880,8;58
5065;SO - 0005370;15.02.2016;Product 5;AXW291;Distributor;Barcelona;Spain;Prasco Group;Top Regions;AZ;244;7;1085,4;7597,8;629,532;3191,076;42
5066;SO - 0002693;30.03.2015;Product 5;AXW291;Wholesale;Barcelona;Spain;Ole Group;Top Regions;AZ;424;8;1038,5;8308;508,865;4237,08;51
5067;SO - 0001190;06.10.2014;Product 5;AXW291;Export;Barcelona;Spain;Medline;Top Regions;AZ;511;8;3993,2;31945,6;1836,872;17250,624;54
5068;SO - 0004617;16.11.2015;Product 5;AXW291;Wholesale;Barcelona;Spain;OUR Ltd;Top Regions;AZ;335;9;3986,5;35878,5;3308,795;6099,345;17
5069;SO - 0001834;22.12.2014;Product 5;AXW291;Distributor;Barcelona;Spain;Procter Corp;Top Regions;AZ;425;9;1112,2;10009,8;734,052;3403,332;34
5070;SO - 000136;02.06.2014;Product 5;AXW291;Wholesale;Barcelona;Spain;Dharma Ltd;Top Regions;AZ;515;10;2278;22780;1093,44;11845,6;52
5071;SO - 0004126;21.09.2015;Product 5;AXW291;Wholesale;Barcelona;Spain;PEDIFIX, Corp;Top Regions;AZ;334;10;3041,8;30418;2038,006;10037,94;33
5072;SO - 0002212;26.01.2015;Product 5;AXW291;Distributor;Barcelona;Spain;PEDIFIX, Corp;Top Regions;AZ;424;10;3865,9;38659;1585,019;22808,81;59
5073;SO - 0007520;24.10.2016;Product 5;AXW291;Wholesale;Barcelona;Spain;OHTA'S Corp;Top Regions;AZ;152;11;3879,3;42672,3;2366,373;16642,197;39
5074;SO - 0007945;12.12.2016;Product 5;AXW291;Distributor;Barcelona;Spain;21st Ltd;Top Regions;AZ;152;11;2559,4;28153,4;1970,738;6475,282;23
5075;SO - 0002457;23.02.2015;Product 5;AXW291;Distributor;Milano (Milan);Italy;Mylan Corp;Top Regions;AZ;424;5;5514,1;27570,5;4025,293;7444,035;27
5076;SO - 0002054;12.01.2015;Product 5;AXW291;Wholesale;Milano (Milan);Italy;S.S.S. Group;Top Regions;AZ;424;6;857,6;5145,6;497,408;2161,152;42
5077;SO - 0003886;17.08.2015;Product 5;AXW291;Wholesale;Milano (Milan);Italy;U.S. Ltd;Top Regions;AZ;333;6;1072;6432;621,76;2701,44;42
5078;SO - 0007241;19.09.2016;Product 5;AXW291;Distributor;Milano (Milan);Italy;Dharma Ltd;Top Regions;AZ;155;6;2010;12060;964,8;6271,2;52
5079;SO - 0004168;21.09.2015;Product 5;AXW291;Distributor;Milano (Milan);Italy;Dharma Ltd;Top Regions;AZ;334;7;3865,9;27061,3;1778,314;14613,102;54
5080;SO - 0007008;22.08.2016;Product 5;AXW291;Distributor;Milano (Milan);Italy;3LAB, Ltd;Top Regions;AZ;153;7;234,5;1641,5;93,8;984,9;60
5081;SO - 0001508;10.11.2014;Product 5;AXW291;Wholesale;Milano (Milan);Italy;Eminence Corp;Top Regions;AZ;513;8;3959,7;31677,6;2652,999;10453,608;33
5082;SO - 0002232;02.02.2015;Product 5;AXW291;Wholesale;Milano (Milan);Italy;ETUDE Ltd;Top Regions;AZ;422;9;3852,5;34672,5;2581,175;11441,925;33
5083;SO - 0003078;11.05.2015;Product 5;AXW291;Wholesale;Milano (Milan);Italy;Mylan Corp;Top Regions;AZ;422;9;797,3;7175,7;645,813;1363,383;19
5084;SO - 0005933;18.04.2016;Product 5;AXW291;Wholesale;Milano (Milan);Italy;Rochester Ltd;Top Regions;AZ;243;9;971,5;8743,5;680,05;2623,05;30
5085;SO - 0002441;23.02.2015;Product 5;AXW291;Export;Milano (Milan);Italy;Pacific Ltd;Top Regions;AZ;424;9;2539,3;22853,7;1295,043;11198,313;49
5086;SO - 0001907;29.12.2014;Product 5;AXW291;Wholesale;Milano (Milan);Italy;Eminence Corp;Top Regions;AZ;421;10;1132,3;11323;962,455;1698,45;15
5087;SO - 0007975;12.12.2016;Product 5;AXW291;Distributor;Milano (Milan);Italy;Trigen;Top Regions;AZ;152;10;2264,6;22646;1471,99;7926,1;35
5088;SO - 0004399;19.10.2015;Product 5;AXW291;Distributor;Milano (Milan);Italy;OUR Ltd;Top Regions;AZ;333;11;6097;67067;4816,63;14084,07;21
5089;SO - 0004562;09.11.2015;Product 5;AXW291;Export;Milano (Milan);Italy;Ole Group;Top Regions;AZ;334;11;2606,3;28669,3;1277,087;14621,343;51
5090;SO - 0002002;05.01.2015;Product 5;AXW291;Distributor;Milano (Milan);Italy;Burt's Corp;Top Regions;AZ;425;12;3182,5;38190;2004,975;14130,3;37
5091;SO - 0007900;05.12.2016;Product 5;AXW291;Distributor;Milano (Milan);Italy;Fenwal, Corp;Top Regions;AZ;155;12;2224,4;26692,8;1557,08;8007,84;30
5092;SO - 0007552;24.10.2016;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;Eminence Corp;Top Regions;AZ;152;5;4006,6;20033;2043,366;9816,17;49
5093;SO - 0007612;31.10.2016;Product 5;AXW291;Distributor;M?nchen (Munich);Germany;Ei;Top Regions;AZ;154;6;1165,8;6994,8;617,874;3287,556;47
5094;SO - 0003970;31.08.2015;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;Mylan Corp;Top Regions;AZ;332;7;1005;7035;613,05;2743,65;39
5095;SO - 0005223;25.01.2016;Product 5;AXW291;Export;M?nchen (Munich);Germany;Ascend Ltd;Top Regions;AZ;244;7;2398,6;16790,2;1990,838;2854,334;17
5096;SO - 0001047;15.09.2014;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;Apotheca, Ltd;Top Regions;AZ;513;9;2546;22914;1502,14;9394,74;41
5097;SO - 0005305;08.02.2016;Product 5;AXW291;Export;M?nchen (Munich);Germany;U.S. Ltd;Top Regions;AZ;242;9;971,5;8743,5;446,89;4721,49;54
5098;SO - 0008030;19.12.2016;Product 5;AXW291;Export;M?nchen (Munich);Germany;Apollo Ltd;Top Regions;AZ;153;9;5788,8;52099,2;2431,296;30217,536;58
5099;SO - 0007074;05.09.2016;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;Pure Group;Top Regions;AZ;152;10;247,9;2479;205,757;421,43;17
5100;SO - 0007411;10.10.2016;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;Apollo Ltd;Top Regions;AZ;153;10;1092,1;10921;502,366;5897,34;54
5101;SO - 0004938;28.12.2015;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;21st Ltd;Top Regions;AZ;241;11;3879,3;42672,3;1706,892;23896,488;56
5102;SO - 000913;01.09.2014;Product 5;AXW291;Distributor;M?nchen (Munich);Germany;PEDIFIX, Corp;Top Regions;AZ;511;11;3819;42009;1565,79;24785,31;59
5103;SO - 0003856;17.08.2015;Product 5;AXW291;Distributor;M?nchen (Munich);Germany;Eminence Corp;Top Regions;AZ;333;11;837,5;9212,5;368,5;5159;56
5104;SO - 0004612;16.11.2015;Product 5;AXW291;Wholesale;M?nchen (Munich);Germany;Ohio;Top Regions;AZ;335;12;2619,7;31436,4;2069,563;6601,644;21
5105;SO - 000485;14.07.2014;Product 5;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Pure Group;Top Regions;AZ;512;6;3979,8;23878,8;2069,496;11461,824;48
5106;SO - 0006115;16.05.2016;Product 5;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Linde;Top Regions;AZ;245;6;1072;6432;825,44;1479,36;23
5107;SO - 0005341;08.02.2016;Product 5;AXW291;Wholesale;PRAHA (Prague);Czech Republic;OUR Ltd;Top Regions;AZ;242;9;3879,3;34913,7;3142,233;6633,603;19
5108;SO - 0002832;13.04.2015;Product 5;AXW291;Distributor;PRAHA (Prague);Czech Republic;Apollo Ltd;Top Regions;AZ;421;9;1762,1;15858,9;1462,543;2696,013;17
5109;SO - 0004539;09.11.2015;Product 5;AXW291;Export;PRAHA (Prague);Czech Republic;Apollo Ltd;Top Regions;AZ;334;10;3879,3;38793;3103,44;7758,6;20
5110;SO - 0002325;09.02.2015;Product 5;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Niconovum Corp;Top Regions;AZ;423;12;978,2;11738,4;674,958;3638,904;31
5111;SO - 0003828;10.08.2015;Product 5;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Procter Corp;Top Regions;AZ;333;12;5621,3;67455,6;3316,567;27656,796;41
5112;SO - 0001506;10.11.2014;Product 5;AXW291;Wholesale;SOFIA;Bulgaria;S.S.S. Group;Top Regions;AZ;513;5;1098,8;5494;527,424;2856,88;52
5113;SO - 0004508;02.11.2015;Product 5;AXW291;Distributor;SOFIA;Bulgaria;Trigen;Top Regions;AZ;333;5;6545,9;32729,5;2749,278;18983,11;58
5114;SO - 0005332;08.02.2016;Product 5;AXW291;Distributor;SOFIA;Bulgaria;Pacific Ltd;Top Regions;AZ;242;5;3323,2;16616;1860,992;7311,04;44
5115;SO - 000130;02.06.2014;Product 5;AXW291;Wholesale;SOFIA;Bulgaria;Procter Corp;Top Regions;AZ;515;6;2901,1;17406,6;2378,902;3133,188;18
5116;SO - 0006622;11.07.2016;Product 5;AXW291;Wholesale;SOFIA;Bulgaria;Dharma Ltd;Top Regions;AZ;153;6;1105,5;6633;475,365;3780,81;57
5117;SO - 0004531;09.11.2015;Product 5;AXW291;Distributor;SOFIA;Bulgaria;Prasco Group;Top Regions;AZ;334;6;3932,9;23597,4;2084,437;11090,778;47
5118;SO - 000149;02.06.2014;Product 5;AXW291;Export;SOFIA;Bulgaria;ETUDE Ltd;Top Regions;AZ;515;6;2003,3;12019,8;921,518;6490,692;54
5119;SO - 0005367;15.02.2016;Product 5;AXW291;Wholesale;SOFIA;Bulgaria;Elorac, Corp;Top Regions;AZ;244;7;2525,9;17681,3;1338,727;8310,211;47
5120;SO - 0003938;24.08.2015;Product 5;AXW291;Wholesale;SOFIA;Bulgaria;Winthrop;Top Regions;AZ;331;8;2525,9;20207,2;1793,389;5860,088;29
5121;SO - 0001757;15.12.2014;Product 5;AXW291;Export;SOFIA;Bulgaria;U.S. Ltd;Top Regions;AZ;422;9;1098,8;9889,2;747,184;3164,544;32
5122;SO - 0001611;24.11.2014;Product 5;AXW291;Export;SOFIA;Bulgaria;E. Ltd;Top Regions;AZ;515;10;2257,9;22579;1264,424;9934,76;44
5123;SO - 0004369;19.10.2015;Product 5;AXW291;Export;SOFIA;Bulgaria;Niconovum Corp;Top Regions;AZ;333;12;2599,6;31195,2;1143,824;17469,312;56
5124;SO - 000660;04.08.2014;Product 5;AXW291;Wholesale;Dnepropetrovsk;Ukraine;OHTA'S Corp;Lower Regions;AZ;515;5;3725,2;18626;2570,388;5774,06;31
5125;SO - 000749;11.08.2014;Product 5;AXW291;Distributor;Dnepropetrovsk;Ukraine;Elorac, Corp;Lower Regions;AZ;514;5;1125,6;5628;529,032;2982,84;53
5126;SO - 0001890;29.12.2014;Product 5;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Trigen;Lower Regions;AZ;421;6;1936,3;11617,8;1490,951;2672,094;23
5127;SO - 0005707;28.03.2016;Product 5;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Weimei Corp;Lower Regions;AZ;244;6;5165,7;30994,2;2737,821;14567,274;47
5128;SO - 000151;02.06.2014;Product 5;AXW291;Export;Dnepropetrovsk;Ukraine;Qualitest;Lower Regions;AZ;515;6;2278;13668;1822,4;2733,6;20
5129;SO - 0002625;23.03.2015;Product 5;AXW291;Export;Dnepropetrovsk;Ukraine;Capweld;Lower Regions;AZ;421;6;1072;6432;503,84;3408,96;53
5130;SO - 000995;08.09.2014;Product 5;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Winthrop;Lower Regions;AZ;512;7;1098,8;7691,6;604,34;3461,22;45
5131;SO - 0007284;26.09.2016;Product 5;AXW291;Export;Dnepropetrovsk;Ukraine;Dharma Ltd;Lower Regions;AZ;153;7;1152,4;8066,8;898,872;1774,696;22
5132;SO - 0006110;09.05.2016;Product 5;AXW291;Wholesale;Dnepropetrovsk;Ukraine;21st Ltd;Lower Regions;AZ;243;8;234,5;1876;154,77;637,84;34
5133;SO - 000318;23.06.2014;Product 5;AXW291;Distributor;Dnepropetrovsk;Ukraine;Capweld;Lower Regions;AZ;512;8;3852,5;30820;2003,3;14793,6;48
5134;SO - 000901;01.09.2014;Product 5;AXW291;Distributor;Dnepropetrovsk;Ukraine;Mylan Corp;Lower Regions;AZ;511;8;1118,9;8951,2;469,938;5191,696;58
5135;SO - 0002008;05.01.2015;Product 5;AXW291;Distributor;Dnepropetrovsk;Ukraine;Wuxi Group;Lower Regions;AZ;425;9;783,9;7055,1;470,34;2822,04;40
5136;SO - 000569;21.07.2014;Product 5;AXW291;Distributor;Donetsk;Ukraine;Avon Corp;Mid Regions;AZ;515;5;207,7;1038,5;87,234;602,33;58
5137;SO - 0003196;25.05.2015;Product 5;AXW291;Distributor;Donetsk;Ukraine;O.E. Ltd;Mid Regions;AZ;424;5;3959,7;19798,5;2811,387;5741,565;29
5138;SO - 000853;25.08.2014;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Pure Group;Mid Regions;AZ;514;7;2532,6;17728,2;1595,538;6559,434;37
5139;SO - 0006068;09.05.2016;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Fenwal, Corp;Mid Regions;AZ;243;7;2458,9;17212,3;1303,217;8089,781;47
5140;SO - 0002390;16.02.2015;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Bare;Mid Regions;AZ;421;8;1159,1;9272,8;857,734;2410,928;26
5141;SO - 0002846;20.04.2015;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Nipro;Mid Regions;AZ;424;9;3865,9;34793,1;2628,812;11133,792;32
5142;SO - 000700;04.08.2014;Product 5;AXW291;Distributor;Donetsk;Ukraine;ETUDE Ltd;Mid Regions;AZ;515;10;944,7;9447;462,903;4817,97;51
5143;SO - 000899;01.09.2014;Product 5;AXW291;Distributor;Donetsk;Ukraine;Mylan Corp;Mid Regions;AZ;511;10;1031,8;10318;474,628;5571,72;54
5144;SO - 0001747;08.12.2014;Product 5;AXW291;Distributor;Donetsk;Ukraine;Pacific Ltd;Mid Regions;AZ;424;11;2847,5;31322,5;1708,5;12529;40
5145;SO - 0005366;15.02.2016;Product 5;AXW291;Wholesale;Donetsk;Ukraine;3LAB, Ltd;Mid Regions;AZ;244;12;6559,3;78711,6;3279,65;39355,8;50
5146;SO - 0005889;18.04.2016;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Uriel Group;Mid Regions;AZ;243;12;2532,6;30391,2;1696,842;10029,096;33
5147;SO - 0006604;11.07.2016;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Prasco Group;Mid Regions;AZ;153;12;1943;23316;1632,12;3730,56;16
5148;SO - 0006814;01.08.2016;Product 5;AXW291;Wholesale;Donetsk;Ukraine;Mylan Corp;Mid Regions;AZ;154;12;187,6;2251,2;155,708;382,704;17
5149;SO - 0004003;31.08.2015;Product 5;AXW291;Distributor;Donetsk;Ukraine;Prasco Group;Mid Regions;AZ;332;12;2572,8;30873,6;1183,488;16671,744;54
5150;SO - 0006399;13.06.2016;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;Sundial;Top Regions;AZ;242;6;1333,3;7999,8;1026,641;1839,954;23
5151;SO - 0007288;26.09.2016;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;Amylin Group;Top Regions;AZ;153;6;1943;11658;893,78;6295,32;54
5152;SO - 0003942;24.08.2015;Product 5;AXW291;Distributor;Napoli (Naples);Italy;OUR Ltd;Top Regions;AZ;331;6;2525,9;15155,4;1010,36;9093,24;60
5153;SO - 0004287;05.10.2015;Product 5;AXW291;Export;Napoli (Naples);Italy;O.E. Ltd;Top Regions;AZ;334;6;6130,5;36783;3494,385;15816,69;43
5154;SO - 0005524;29.02.2016;Product 5;AXW291;Export;Napoli (Naples);Italy;Llorens Ltd;Top Regions;AZ;241;7;3993,2;27952,4;1637,212;16491,916;59
5155;SO - 0004221;28.09.2015;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;O.E. Ltd;Top Regions;AZ;335;8;3906,1;31248,8;2538,965;10937,08;35
5156;SO - 0001238;13.10.2014;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;Bare;Top Regions;AZ;511;10;2546;25460;1782,2;7638;30
5157;SO - 0007153;12.09.2016;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;S.S.S. Group;Top Regions;AZ;153;10;4013,3;40133;3210,64;8026,6;20
5158;SO - 0001467;10.11.2014;Product 5;AXW291;Distributor;Napoli (Naples);Italy;Procter Corp;Top Regions;AZ;513;10;6358,3;63583;2543,32;38149,8;60
5159;SO - 0001433;03.11.2014;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;Ei;Top Regions;AZ;513;11;2458,9;27047,9;1819,586;7032,454;26
5160;SO - 0005892;18.04.2016;Product 5;AXW291;Wholesale;Napoli (Naples);Italy;OHTA'S Corp;Top Regions;AZ;243;12;247,9;2974,8;193,362;654,456;22
5161;SO - 0007673;07.11.2016;Product 5;AXW291;Wholesale;Birmingham;UK;Elorac, Corp;Top Regions;AZ;152;5;247,9;1239,5;111,555;681,725;55
5162;SO - 000461;14.07.2014;Product 5;AXW291;Distributor;Birmingham;UK;Sundial;Top Regions;AZ;512;5;3832,4;19162;2452,736;6898,32;36
5163;SO - 000796;18.08.2014;Product 5;AXW291;Distributor;Birmingham;UK;Wuxi Group;Top Regions;AZ;515;5;6338,2;31691;3802,92;12676,4;40
5164;SO - 0002665;30.03.2015;Product 5;AXW291;Distributor;Birmingham;UK;Victory Ltd;Top Regions;AZ;424;5;2954,7;14773,5;1300,068;8273,16;56
5165;SO - 0007628;31.10.2016;Product 5;AXW291;Export;Birmingham;UK;Ascend Ltd;Top Regions;AZ;154;5;207,7;1038,5;97,619;550,405;53
5166;SO - 000266;16.06.2014;Product 5;AXW291;Distributor;Birmingham;UK;Qualitest;Top Regions;AZ;512;6;6324,8;37948,8;4300,864;12143,616;32
5167;SO - 0007588;31.10.2016;Product 5;AXW291;Distributor;Birmingham;UK;Llorens Ltd;Top Regions;AZ;154;6;991,6;5949,6;743,7;1487,4;25
5168;SO - 0003610;20.07.2015;Product 5;AXW291;Wholesale;Birmingham;UK;ETUDE Ltd;Top Regions;AZ;334;7;1038,5;7269,5;654,255;2689,715;37
5169;SO - 0003073;11.05.2015;Product 5;AXW291;Export;Birmingham;UK;Apollo Ltd;Top Regions;AZ;422;7;5045,1;35315,7;2623,452;16951,536;48
5170;SO - 0006060;09.05.2016;Product 5;AXW291;Wholesale;Birmingham;UK;Rochester Ltd;Top Regions;AZ;243;8;1078,7;8629,6;528,563;4401,096;51
5171;SO - 0002905;27.04.2015;Product 5;AXW291;Wholesale;Birmingham;UK;PEDIFIX, Corp;Top Regions;AZ;425;9;2753,7;24783,3;1679,757;9665,487;39
5172;SO - 0003793;03.08.2015;Product 5;AXW291;Wholesale;Birmingham;UK;Capweld;Top Regions;AZ;335;9;3819;34371;2329,59;13404,69;39
5173;SO - 0001759;15.12.2014;Product 5;AXW291;Export;Birmingham;UK;Burt's Corp;Top Regions;AZ;422;9;2680;24120;2144;4824;20
5174;SO - 0002818;13.04.2015;Product 5;AXW291;Wholesale;Birmingham;UK;Ole Group;Top Regions;AZ;421;11;6405,2;70457,2;4611,744;19728,016;28
5175;SO - 0001727;08.12.2014;Product 5;AXW291;Wholesale;Birmingham;UK;Ei;Top Regions;AZ;424;12;3879,3;46551,6;2715,51;13965,48;30
5176;SO - 0006591;04.07.2016;Product 5;AXW291;Distributor;Birmingham;UK;Eminence Corp;Top Regions;AZ;154;12;2345;28140;1031,8;15758,4;56
5177;SO - 0007294;26.09.2016;Product 5;AXW291;Distributor;Birmingham;UK;Select;Top Regions;AZ;153;12;174,2;2090,4;94,068;961,584;46
5178;SO - 0003346;15.06.2015;Product 5;AXW291;Wholesale;Odessa;Ukraine;Niconovum Corp;Top Regions;AZ;332;5;1869,3;9346,5;1401,975;2336,625;25
5179;SO - 0007602;31.10.2016;Product 5;AXW291;Distributor;Odessa;Ukraine;Ascend Ltd;Top Regions;AZ;154;5;3631,4;18157;2033,584;7989,08;44
5180;SO - 0003985;31.08.2015;Product 5;AXW291;Export;Odessa;Ukraine;New Ltd;Top Regions;AZ;332;5;3470,6;17353;2950,01;2602,95;15
5181;SO - 0002725;06.04.2015;Product 5;AXW291;Wholesale;Odessa;Ukraine;Rochester Ltd;Top Regions;AZ;424;6;1125,6;6753,6;585,312;3241,728;48
5182;SO - 0001873;22.12.2014;Product 5;AXW291;Distributor;Odessa;Ukraine;S.S.S. Group;Top Regions;AZ;425;6;1072;6432;707,52;2186,88;34
5183;SO - 0005610;14.03.2016;Product 5;AXW291;Export;Odessa;Ukraine;Amylin Group;Top Regions;AZ;241;6;3564,4;21386,4;2708,944;5132,736;24
5184;SO - 0002733;06.04.2015;Product 5;AXW291;Wholesale;Odessa;Ukraine;Prasco Group;Top Regions;AZ;424;7;1125,6;7879,2;754,152;2600,136;33
5185;SO - 0003702;27.07.2015;Product 5;AXW291;Wholesale;Odessa;Ukraine;Trigen;Top Regions;AZ;334;8;241,2;1929,6;168,84;578,88;30
5186;SO - 0005184;25.01.2016;Product 5;AXW291;Wholesale;Odessa;Ukraine;Mylan Corp;Top Regions;AZ;244;8;3845,8;30766,4;2499,77;10768,24;35
